ut_ms,power,sa,sx,sy,sz,sunmars_km,earthmars_km,sunmarsearthangle_deg,solarconstantmars,eclipseduration_min,occultationduration_min,flagcomms,ACROSS_TRACK,D1PVMC,D4PNPO,EARTH,INERTIAL,MAINTENANCE,NADIR,RADIO_SCIENCE,SLEW,WARMUP
2008-08-22 00:00:00,0.0015521501769911504,0.3393548387096775,14.551129032258066,90.33935483870968,104.54887096774193,241938908.363002,355756044.048925,19.5650758165222,522.263999026823,4.16666666666667,27.4,1,0,0,0,1,0,0,0,0,0,0
2008-08-22 01:00:00,0.0014975776785714286,6.6193103448275865,18.012183908045976,90.50045977011494,90.3964367816092,241938908.363002,355756044.048925,19.5650758165222,522.263999026823,4.16666666666667,27.4,0,0,0,0,1,0,0,1,0,1,0
2008-08-22 02:00:00,0.0015025853982300885,30.92713656387665,37.511806167400884,64.61814977973569,86.91079295154185,241938908.363002,355756044.048925,19.5650758165222,522.263999026823,4.16666666666667,27.4,0,0,0,0,0,0,0,1,0,1,0
2008-08-22 03:00:00,0.0015317932142857142,1.5343055555555556,15.217916666666667,89.96708333333333,105.19791666666667,241938908.363002,355756044.048925,19.5650758165222,522.263999026823,4.16666666666667,27.4,1,0,0,0,1,0,0,0,0,1,0
2008-08-22 04:00:00,0.0015051940707964601,0.339672131147541,14.523934426229507,90.33967213114755,104.52049180327869,241938908.363002,355756044.048925,19.5650758165222,522.263999026823,4.16666666666667,27.4,0,0,0,0,1,0,0,0,0,0,0
2008-08-22 05:00:00,0.0015554808928571427,0.3395081967213115,14.51655737704918,90.33950819672131,104.51131147540984,241938908.363002,355756044.048925,19.5650758165222,522.263999026823,4.16666666666667,27.4,0,0,0,0,0,0,0,0,0,0,0
2008-08-22 06:00:00,0.001546932831858407,0.3395081967213115,14.509672131147541,90.33950819672131,104.50459016393442,241938908.363002,355756044.048925,19.5650758165222,522.263999026823,4.16666666666667,27.4,1,0,0,0,1,0,0,0,0,0,0
2008-08-22 07:00:00,0.001502841607142857,0.34,14.5,90.34,104.4975,241938908.363002,355756044.048925,19.5650758165222,522.263999026823,4.16666666666667,27.4,0,0,0,0,0,0,0,0,0,0,0
2008-08-22 08:00:00,0.0015208461061946902,13.602782608695652,25.058,86.57791304347828,77.14113043478261,241938908.363002,355756044.048925,19.5650758165222,522.263999026823,4.16666666666667,27.4,0,0,0,0,1,0,0,1,0,1,0
2008-08-22 09:00:00,0.0015133694642857143,29.330189573459716,35.30995260663507,64.59734597156398,94.51412322274881,241938908.363002,355756044.048925,19.5650758165222,522.263999026823,4.16666666666667,27.4,0,0,0,0,0,0,0,1,0,1,0
2008-08-22 10:00:00,0.0015521501769911504,0.3395081967213115,14.48032786885246,90.33950819672131,104.47672131147542,241938908.363002,355756044.048925,19.5650758165222,522.263999026823,4.16666666666667,27.4,0,0,0,0,1,0,0,0,0,1,0
2008-08-22 11:00:00,0.0014896817857142856,0.3355737704918033,14.319344262295083,90.3355737704918,104.3167213114754,241938908.363002,355756044.048925,19.5650758165222,522.263999026823,4.16666666666667,27.4,0,0,0,0,1,0,1,0,0,0,0
2008-08-22 12:00:00,0.0015364981415929204,0.28065573770491803,2.2227868852459016,90.05180327868852,92.22213114754099,241800159.82512,356303701.299971,19.3900749648847,522.863536732556,1.78333333333333,26.9333333333333,0,0,0,0,0,0,0,0,0,0,0
2008-08-22 13:00:00,0.0015054735714285714,0.3033333333333334,12.8985,90.30333333333333,102.89233333333333,241800159.82512,356303701.299971,19.3900749648847,522.863536732556,1.78333333333333,26.9333333333333,0,0,0,0,1,0,1,0,0,0,0
2008-08-22 14:00:00,0.0015078027433628317,0.34,14.45,90.34,104.446,241800159.82512,356303701.299971,19.3900749648847,522.863536732556,1.78333333333333,26.9333333333333,0,0,0,0,0,0,0,0,0,0,0
2008-08-22 15:00:00,0.0015528489285714286,8.01045045045045,23.563153153153156,95.80072072072073,71.6618918918919,241800159.82512,356303701.299971,19.3900749648847,522.863536732556,1.78333333333333,26.9333333333333,0,0,0,0,1,1,0,0,0,1,0
2008-08-22 16:00:00,0.001531280796460177,6.629252336448599,20.68878504672897,93.0411214953271,110.23485981308413,241800159.82512,356303701.299971,19.3900749648847,522.863536732556,1.78333333333333,26.9333333333333,0,1,0,0,1,0,0,0,0,1,0
2008-08-22 17:00:00,0.0015423210714285713,32.336344086021505,50.689354838709676,122.23537634408602,123.11763440860216,241800159.82512,356303701.299971,19.3900749648847,522.863536732556,1.78333333333333,26.9333333333333,0,1,0,0,0,0,0,0,0,1,0
2008-08-22 18:00:00,0.001523454778761062,12.818028169014084,39.17253521126761,102.09,123.0150704225352,241800159.82512,356303701.299971,19.3900749648847,522.863536732556,1.78333333333333,26.9333333333333,0,0,0,0,0,0,0,0,0,1,1
2008-08-22 19:00:00,0.0015265292857142858,0.3985245901639345,34.662295081967216,90.00508196721312,124.6622950819672,241800159.82512,356303701.299971,19.3900749648847,522.863536732556,1.78333333333333,26.9333333333333,0,0,0,0,0,0,0,0,0,0,0
2008-08-22 20:00:00,0.001580845575221239,0.26655737704918037,24.91573770491803,90.16163934426228,114.91540983606558,241800159.82512,356303701.299971,19.3900749648847,522.863536732556,1.78333333333333,26.9333333333333,1,0,0,0,1,0,0,0,0,1,1
2008-08-22 21:00:00,0.0015238973214285714,0.33,14.399833333333333,90.33,104.39450000000001,241800159.82512,356303701.299971,19.3900749648847,522.863536732556,1.78333333333333,26.9333333333333,0,0,0,0,0,0,0,0,0,0,0
2008-08-22 22:00:00,0.0015338894690265486,23.661793478260872,32.75760869565217,72.65967391304348,72.75875,241800159.82512,356303701.299971,19.3900749648847,522.863536732556,1.78333333333333,26.9333333333333,0,0,0,0,1,0,0,1,0,1,0
2008-08-22 23:00:00,0.00149231375,23.514788732394365,29.348380281690144,72.6887323943662,109.14859154929577,241800159.82512,356303701.299971,19.3900749648847,522.863536732556,1.78333333333333,26.9333333333333,0,0,0,0,1,0,0,1,0,1,0
2008-08-23 00:00:00,0.0014817160176991153,0.32967213114754096,14.379508196721313,90.32967213114753,104.37393442622951,241800159.82512,356303701.299971,19.3900749648847,522.863536732556,1.78333333333333,26.9333333333333,1,0,0,0,1,0,0,0,0,0,0
2008-08-23 01:00:00,0.00147389,0.33,14.37,90.33,104.36716666666666,241800159.82512,356303701.299971,19.3900749648847,522.863536732556,1.78333333333333,26.9333333333333,0,0,0,0,0,0,0,0,0,0,0
2008-08-23 02:00:00,0.001481716017699115,0.32967213114754096,14.36311475409836,90.32967213114753,104.36065573770492,241800159.82512,356303701.299971,19.3900749648847,522.863536732556,1.78333333333333,26.9333333333333,0,0,0,0,0,0,0,0,0,0,0
2008-08-23 03:00:00,0.0014765219642857142,0.33,14.3555,90.33,104.35033333333332,241800159.82512,356303701.299971,19.3900749648847,522.863536732556,1.78333333333333,26.9333333333333,0,0,0,0,0,0,0,0,0,0,0
2008-08-23 04:00:00,0.00147389,0.33,14.348333333333333,90.33,104.34316666666668,241800159.82512,356303701.299971,19.3900749648847,522.863536732556,1.78333333333333,26.9333333333333,0,0,0,0,0,0,0,0,0,0,0
2008-08-23 05:00:00,0.00147389,30.924953271028034,34.393457943925235,68.77233644859814,76.39084112149533,241800159.82512,356303701.299971,19.3900749648847,522.863536732556,1.78333333333333,26.9333333333333,0,0,0,0,1,0,0,1,0,1,0
2008-08-23 06:00:00,0.0015495415044247788,22.754921875,31.165390625,82.988046875,117.749921875,241800159.82512,356303701.299971,19.3900749648847,522.863536732556,1.78333333333333,26.9333333333333,0,0,0,0,1,0,0,1,0,1,0
2008-08-23 07:00:00,0.0015502169642857143,0.32967213114754096,14.328032786885245,90.32967213114753,104.32245901639344,241800159.82512,356303701.299971,19.3900749648847,522.863536732556,1.78333333333333,26.9333333333333,1,0,0,0,1,0,0,0,0,0,0
